pl_discmethod,pl_disc,pl_locale,ra,dec,st_glon,st_glat,st_elon,st_elat,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,st_sp,st_spstr,st_logg,st_lum,st_metfe,st_metratio,st_vsini,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_bmassprov,pl_rade,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag
Transit,2014,Space,291.960005,44.900024,77.095857,12.835749,309.445885,65.359676,977,15.77,Kepler-band,5376,,0.79,,,4.57,,,,,Kepler-389,b,2,3.244107,0.041,,,,1.51,1,0,0,0,0,0
Transit,2014,Space,291.960005,44.900024,77.095857,12.835749,309.445885,65.359676,977,15.77,Kepler-band,5376,,0.79,,,4.57,,,,,Kepler-389,c,2,14.51143,0.11,,,,1.46,1,0,0,0,0,0
Transit,2011,Space,296.960265,46.034298,79.759551,10.234162,318.199625,65.025966,1200,14.46,V (Johnson),6350,1.29,1.4,3.7,F7 V,4.4,,0.1,[Fe/H],16,Kepler-39,b,1,21.08721,0.164,0.112,6388.1,Mass,13.9,1,1,0,0,0,0
Transit,2014,Space,291.628777,41.208603,73.591819,11.439163,306.149418,61.960471,435,13.942,Kepler-band,5166,,0.78,,,4.57,,,,,Kepler-390,b,2,6.738088,0.065,,,,0.82,1,0,0,0,0,0
Transit,2014,Space,291.628777,41.208603,73.591819,11.439163,306.149418,61.960471,435,13.942,Kepler-band,5166,,0.78,,,4.57,,,,,Kepler-390,c,2,13.060022,0.101,,,,0.79,1,0,0,0,0,0
Transit,2014,Space,290.621815,51.057304,82.499121,16.206494,313.861909,71.368815,1064,13.007,Kepler-band,4940,,3.57,,,3.46,,,,,Kepler-391,b,2,7.416755,0.082,,,,3.2,1,0,0,0,0,0
Transit,2014,Space,290.621815,51.057304,82.499121,16.206494,313.861909,71.368815,1064,13.007,Kepler-band,4940,,3.57,,,3.46,,,,,Kepler-391,c,2,20.485435,0.161,,,,3.54,1,0,0,0,0,0
Transit,2014,Space,288.660765,43.368084,74.643667,14.342725,302.957119,64.686846,673,13.455,Kepler-band,5938,,1.13,,,4.32,,,,,Kepler-392,b,2,5.341853,0.059,,,,1,1,0,0,0,0,0
Transit,2014,Space,288.660765,43.368084,74.643667,14.342725,302.957119,64.686846,673,13.455,Kepler-band,5938,,1.13,,,4.32,,,,,Kepler-392,c,2,10.423118,0.093,,,,1.1,1,0,0,0,0,0
Transit,2014,Space,290.995257,45.192215,77.067561,13.576848,308.150565,65.873541,789,13.223,Kepler-band,6189,,1.38,,,4.23,,,,,Kepler-393,b,2,9.182417,0.091,,,,1.29,1,0,0,0,0,0
Transit,2014,Space,290.995257,45.192215,77.067561,13.576848,308.150565,65.873541,789,13.223,Kepler-band,6189,,1.38,,,4.23,,,,,Kepler-393,c,2,14.613612,0.124,,,,1.33,1,0,0,0,0,0
Transit,2014,Space,296.301953,50.672318,83.726097,12.803032,322.746394,69.341195,1297,14.79,Kepler-band,6402,,1.13,,,4.41,,,,,Kepler-394,b,2,8.005013,0.083,,,,1.6,1,0,0,0,0,0
Transit,2014,Space,296.301953,50.672318,83.726097,12.803032,322.746394,69.341195,1297,14.79,Kepler-band,6402,,1.13,,,4.41,,,,,Kepler-394,c,2,12.130686,0.11,,,,1.66,1,0,0,0,0,0
Transit,2014,Space,293.511099,45.136598,77.807882,11.955695,312.091222,65.176806,360,15.987,Kepler-band,4262,,0.56,,,4.73,,,,,Kepler-395,b,2,7.054346,0.061,,,,1.03,1,0,0,0,0,0
Transit,2014,Space,293.511099,45.136598,77.807882,11.955695,312.091222,65.176806,360,15.987,Kepler-band,4262,,0.56,,,4.73,,,,,Kepler-395,c,2,34.989262,0.177,,,,1.32,1,0,0,0,0,0
Transit,2013,Space,296.132818,48.977402,82.135133,12.116487,320.238803,67.909281,233,11.921,Kepler-band,5384,,1.17,,,4.32,,-0.129,[Fe/H],,Kepler-396,b,2,42.994,,,75.5,Mass,3.5,1,0,0,0,0,0
Transit,2013,Space,296.132818,48.977402,82.135133,12.116487,320.238803,67.909281,233,11.921,Kepler-band,5384,,1.17,,,4.32,,-0.129,[Fe/H],,Kepler-396,c,2,88.505,,,17.9,Mass,5.3,1,0,0,0,0,0
Transit,2014,Space,295.894109,42.380451,76.134699,9.153666,313.363448,61.977278,969,15.996,Kepler-band,5307,,0.77,,,4.57,,,,,Kepler-397,b,2,22.250949,0.144,,,,2.46,1,0,0,0,0,0
Transit,2014,Space,295.894109,42.380451,76.134699,9.153666,313.363448,61.977278,969,15.996,Kepler-band,5307,,0.77,,,4.57,,,,,Kepler-397,c,2,135.498527,0.48,,,,6.18,1,0,0,0,0,0
Transit,2014,Space,291.468662,40.343853,72.74603,11.166005,305.349592,61.174659,185,13.256,Kepler-band,4493,,0.61,,,4.69,,,,,Kepler-398,b,3,4.081423,0.044,,,,0.93,1,0,0,0,0,0
Transit,2014,Space,291.468662,40.343853,72.74603,11.166005,305.349592,61.174659,185,13.256,Kepler-band,4493,,0.61,,,4.69,,,,,Kepler-398,c,3,11.419412,0.087,,,,1.01,1,0,0,0,0,0
Transit,2016,Space,291.468662,40.343853,72.74603,11.166005,305.349592,61.174659,185,13.256,Kepler-band,4493,,0.61,,,4.69,,,,,Kepler-398,d,3,6.83437001,,,,,0.88,1,0,0,0,0,0
Transit,2014,Space,299.501738,40.670806,75.991316,5.960768,317.155027,59.374621,699,14.467,Kepler-band,5502,,0.68,,,4.62,,,,,Kepler-399,b,3,14.425281,0.103,,,,0.96,1,0,0,0,0,0
Transit,2014,Space,299.501738,40.670806,75.991316,5.960768,317.155027,59.374621,699,14.467,Kepler-band,5502,,0.68,,,4.62,,,,,Kepler-399,c,3,26.67569,0.155,,,,1.43,1,0,0,0,0,0
Transit,2014,Space,299.501738,40.670806,75.991316,5.960768,317.155027,59.374621,699,14.467,Kepler-band,5502,,0.68,,,4.62,,,,,Kepler-399,d,3,58.034616,0.261,,,,1.89,1,0,0,0,0,0
Transit,2009,Space,285.615322,50.135754,80.370077,18.818498,303.461403,71.764869,550,12.7,V (Johnson),5857,1.22,1.49,,,4.17,0.354,0.17,[Fe/H],2.2,Kepler-4,b,1,3.21346,0.0456,0,24.472,Mass,4.002,1,1,0,0,0,0
Transit,2010,Space,296.81369,47.526608,81.044764,11.035147,319.568949,66.411698,2700,14.588,Kepler-band,6510,1.48,2.13,3.5,F5 IV,3.94,,0.1,[Fe/H],9,Kepler-40,b,1,6.87349,0.08,0,699.2,Mass,13.11,1,1,0,0,0,0
Transit,2014,Space,290.944481,40.480035,72.691844,11.584351,304.641649,61.424167,709,13.642,Kepler-band,5886,,1.15,,,4.35,,,,,Kepler-400,b,2,9.024389,0.087,,,,1.65,1,0,0,0,0,0
Transit,2014,Space,290.944481,40.480035,72.691844,11.584351,304.641649,61.424167,709,13.642,Kepler-band,5886,,1.15,,,4.35,,,,,Kepler-400,c,2,17.340824,0.134,,,,1.49,1,0,0,0,0,0
Transit,2014,Space,290.082749,50.863483,82.174314,16.44247,312.642109,71.341008,739,13.312,Kepler-band,6117,,1.33,,,4.25,,,,,Kepler-401,b,3,14.383035,0.122,,,,1.71,1,0,0,0,0,0
Transit,2014,Space,290.082749,50.863483,82.174314,16.44247,312.642109,71.341008,739,13.312,Kepler-band,6117,,1.33,,,4.25,,,,,Kepler-401,c,3,47.318218,0.269,,,,2.15,1,0,0,0,0,0
Transit,2016,Space,290.082749,50.863483,82.174314,16.44247,312.642109,71.341008,739,13.312,Kepler-band,6117,,1.33,,,4.25,,,,,Kepler-401,d,3,184.256405,,,,,2.27,1,0,0,0,0,0
Transit,2014,Space,288.370225,43.35461,74.542709,14.530454,302.475414,64.736438,720,13.268,Kepler-band,6090,,1.26,,,4.28,,,,,Kepler-402,b,4,4.028751,0.051,,,,1.22,1,0,0,0,0,0
Transit,2014,Space,288.370225,43.35461,74.542709,14.530454,302.475414,64.736438,720,13.268,Kepler-band,6090,,1.26,,,4.28,,,,,Kepler-402,c,4,6.124821,0.068,,,,1.56,1,0,0,0,0,0
Transit,2014,Space,288.370225,43.35461,74.542709,14.530454,302.475414,64.736438,720,13.268,Kepler-band,6090,,1.26,,,4.28,,,,,Kepler-402,d,4,8.921099,0.087,,,,1.38,1,0,0,0,0,0
Transit,2014,Space,288.370225,43.35461,74.542709,14.530454,302.475414,64.736438,720,13.268,Kepler-band,6090,,1.26,,,4.28,,,,,Kepler-402,e,4,11.242861,0.102,,,,1.46,1,0,0,0,0,0
Transit,2014,Space,289.921461,46.74456,78.206287,14.899148,307.765749,67.589227,671,12.805,Kepler-band,6090,,1.33,,,4.27,,,,,Kepler-403,b,3,7.031462,0.076,,,,1.25,1,0,0,0,0,0
Transit,2014,Space,289.921461,46.74456,78.206287,14.899148,307.765749,67.589227,671,12.805,Kepler-band,6090,,1.33,,,4.27,,,,,Kepler-403,c,3,54.280749,0.297,,,,1.75,1,0,0,0,0,0
Transit,2016,Space,289.921461,46.74456,78.206287,14.899148,307.765749,67.589227,671,12.805,Kepler-band,6090,,1.33,,,4.27,,,,,Kepler-403,d,3,13.61159129,,,,,1.42,1,0,0,0,0,0
Transit,2014,Space,286.398631,45.343533,75.87461,16.603307,300.589011,67.049527,,15.228,Kepler-band,5654,,0.88,,,4.54,,,,,Kepler-404,b,2,11.829851,0.102,,,,1.27,1,0,0,0,0,0
Transit,2014,Space,286.398631,45.343533,75.87461,16.603307,300.589011,67.049527,,15.228,Kepler-band,5654,,0.88,,,4.54,,,,,Kepler-404,c,2,14.751166,0.118,,,,1.72,1,0,0,0,0,0
Transit,2014,Space,291.409458,38.34003,70.898388,10.316136,304.078944,59.272136,1226,15.855,Kepler-band,5818,,0.89,,,4.54,,,,,Kepler-405,b,2,10.613839,0.095,,,,2.08,1,0,0,0,0,0
Transit,2014,Space,291.409458,38.34003,70.898388,10.316136,304.078944,59.272136,1226,15.855,Kepler-band,5818,,0.89,,,4.54,,,,,Kepler-405,c,2,29.726682,0.188,,,,4.66,1,0,0,0,0,0
Transit,2014,Space,291.848044,44.968224,77.123771,12.936709,309.326388,65.451653,331,12.52,Kepler-band,5538,1.07,1.07,,,4.41,,0.18,[Fe/H],0.4,Kepler-406,b,2,2.42629,,,6.35,Mass,1.43,1,1,0,0,0,0
Transit,2014,Space,291.848044,44.968224,77.123771,12.936709,309.326388,65.451653,331,12.52,Kepler-band,5538,1.07,1.07,,,4.41,,0.18,[Fe/H],0.4,Kepler-406,c,2,4.62332,,,2.71,Mass,0.85,1,1,0,0,0,0
Transit,2014,Space,286.036347,49.614506,79.953718,18.383066,303.70394,71.182306,,12.521,Kepler-band,5476,1,1.01,,,4.43,,0.33,[Fe/H],2,Kepler-407,b,2,0.66931,,,3.2,Mass,1.07,1,1,0,0,0,0
Radial Velocity,2014,Ground,286.036347,49.614506,79.953718,18.383066,303.70394,71.182306,,12.521,Kepler-band,5476,1,1.01,,,4.43,,0.33,[Fe/H],2,Kepler-407,c,2,3000,,,4000,Mass,,0,1,0,0,0,0
Transit,2014,Space,284.786175,48.423233,78.475092,18.738599,300.188219,70.317051,89,8.769,Kepler-band,6104,1.08,1.23,,,4.29,,-0.2,[Fe/H],3.1,Kepler-408,b,1,2.46502,,,5,Mass,0.82,1,1,0,0,0,0
Transit,2014,Space,293.67919,46.852764,79.433048,12.617016,314.001303,66.710837,69,9.439,Kepler-band,5460,0.92,0.89,,,4.5,,0.08,[Fe/H],2,Kepler-409,b,1,68.9584,,,22,Mass,1.19,1,1,0,0,0,0
Transit,2011,Space,294.513229,45.981644,78.902009,11.711501,314.436959,65.681989,770,14.465,Kepler-band,5750,1.15,1.29,4.2,G2 V,4.28,,0.38,[Fe/H],6,Kepler-41,b,1,1.8555582,0.03101,0,177.98,Mass,14.46,1,1,0,0,1,0
Transit,2013,Space,283.150698,45.139832,74.813572,18.664488,294.741893,67.452881,132,9.5,V (Johnson),6273,1.21,1.35,,,4.26,0.435,0.01,[Fe/H],12.9,Kepler-410 A,b,1,17.833648,0.1226,0.17,,,2.838,1,0,0,0,0,0
Transit,2013,Space,287.605582,49.523262,80.249169,17.400745,306.524607,70.737851,153,12.231,Kepler-band,4974,0.83,0.79,,,4.54,-0.509,0.23,[Fe/H],,Kepler-411,b,2,3.00516,0.038,0,,,1.88,1,1,0,0,0,0
Transit,2016,Space,287.605582,49.523262,80.249169,17.400745,306.524607,70.737851,153,12.231,Kepler-band,4974,0.83,0.79,,,4.54,-0.509,0.23,[Fe/H],,Kepler-411,c,2,7.83442788,,,,,3.27,1,0,0,0,0,0
Transit,2014,Space,286.110327,43.680958,74.188947,16.166171,298.952548,65.508915,1056,13.73,V (Johnson),5750,1.17,1.29,4.3,G3 V,4.3,,0.27,[Fe/H],5,Kepler-412,b,1,1.7208604,0.02897,,299.07803,Mass,15.031,1,1,0,0,1,0
Transit,2014,Space,288.51062,51.162472,82.069348,17.470856,310.180712,72.026279,,15.52,Kepler-band,4700,0.82,0.78,,,4.57,,-0.2,[Fe/H],5,Kepler-413,b,1,66.262,0.3553,0.1181,67,Mass,4.347,1,1,0,0,0,1
Transit Timing Variations,2014,Space,297.961566,48.244362,82.062164,10.704389,322.116631,66.694997,440,13.338,Kepler-band,,0.89,0.95,,,,,,,6.1,Kepler-414,b,2,4.7,,,3.5,Mass,1.71,1,0,0,0,0,0
Transit Timing Variations,2014,Space,297.961566,48.244362,82.062164,10.704389,322.116631,66.694997,440,13.338,Kepler-band,,0.89,0.95,,,,,,,6.1,Kepler-414,c,2,7.171,,,29.9,Mass,3.01,1,0,0,0,0,0
Transit Timing Variations,2014,Space,293.804434,38.639131,72.036948,8.785509,307.741136,58.998908,617,15.842,Kepler-band,,0.67,0.64,,,,,,,,Kepler-415,b,2,4.176,,,119.9,Mass,1.21,1,0,0,0,0,0
Transit Timing Variations,2014,Space,293.804434,38.639131,72.036948,8.785509,307.741136,58.998908,617,15.842,Kepler-band,,0.67,0.64,,,,,,,,Kepler-415,c,2,8.708,,,,,,1,0,0,0,0,0
Transit Timing Variations,2014,Space,291.556965,39.227287,71.757938,10.609373,304.804312,60.088457,711,14.028,Kepler-band,,1,1.07,,,,,,,,Kepler-416,b,2,6.319,,,58.2,Mass,2.48,1,0,0,0,0,0
Transit Timing Variations,2014,Space,291.556965,39.227287,71.757938,10.609373,304.804312,60.088457,711,14.028,Kepler-band,,1,1.07,,,,,,,,Kepler-416,c,2,12.209,,,,,,1,0,0,0,0,0
Transit Timing Variations,2014,Space,293.824314,42.779705,75.768894,10.687347,310.603575,62.900313,981,15.886,Kepler-band,,0.9,0.81,,,,,,,,Kepler-417,b,2,12.331,,,11,Mass,2.31,1,0,0,0,0,0
Transit Timing Variations,2014,Space,293.824314,42.779705,75.768894,10.687347,310.603575,62.900313,981,15.886,Kepler-band,,0.9,0.81,,,,,,,,Kepler-417,c,2,15.943,,,,,,1,0,0,0,0,0
Transit,2014,Space,294.433512,38.35545,72.017873,8.217605,308.471563,58.575117,1017,14.696,Kepler-band,5820,0.98,1.09,,,4.35,,-0.05,[M/H],3.5,Kepler-418,b,1,86.67856,,0.2,349.6,Mass,13.45,1,1,0,0,0,0
Transit,2014,Space,295.417899,51.184765,83.934547,13.532328,322.094292,70.063631,872,13.005,Kepler-band,6430,1.39,1.74,,,4.1,,0.176,[Fe/H],14.41,Kepler-419,b,2,69.7546,0.37,0.833,794.5,Mass,10.8,1,1,0,0,0,0
Transit Timing Variations,2014,Space,295.417899,51.184765,83.934547,13.532328,322.094292,70.063631,872,13.005,Kepler-band,6430,1.39,1.74,,,4.1,,0.176,[Fe/H],14.41,Kepler-419,c,2,675.47,1.68,0.184,2320.1,Mass,,0,1,0,0,0,0
Transit,2011,Space,292.219033,44.61916,76.918611,12.547975,309.616774,65.031691,38.7,16.124,V (Johnson),3068,0.13,0.17,6,M,,-2.62,-0.33,[M/H],3.3,Kepler-42,b,3,1.2137672,0.0116,,,,0.78,1,0,0,0,0,0
Transit,2011,Space,292.219033,44.61916,76.918611,12.547975,309.616774,65.031691,38.7,16.124,V (Johnson),3068,0.13,0.17,6,M,,-2.62,-0.33,[M/H],3.3,Kepler-42,c,3,0.45328509,0.006,,,,0.73,1,0,0,0,0,0
Transit,2011,Space,292.219033,44.61916,76.918611,12.547975,309.616774,65.031691,38.7,16.124,V (Johnson),3068,0.13,0.17,6,M,,-2.62,-0.33,[M/H],3.3,Kepler-42,d,3,1.865169,0.0154,,,,0.57,1,0,0,0,0,0
Transit,2014,Space,283.256822,45.087776,74.789135,18.57627,294.899313,67.384583,320,13.354,Kepler-band,5308,0.79,0.76,4.95,G9/K0,4.61,-0.398,-0.25,[Fe/H],0,Kepler-421,b,1,704.1984,1.219,0.041,,,4.16,1,0,0,0,0,0
Transit,2014,Space,282.629656,46.323357,75.862642,19.405795,294.549098,68.688926,692,13.435,Kepler-band,5972,1.15,1.24,,,4.31,0.24,0.23,[Fe/H],2.2,Kepler-422,b,1,7.8914483,0.082,,136.66,Mass,12.89,1,1,0,0,0,0
Transit,2014,Space,292.855742,46.391178,78.752559,12.921084,312.23269,66.510825,725,14.29,Kepler-band,5560,0.85,0.95,4.4,G4 V,4.41,,-0.1,[M/H],2.5,Kepler-423,b,1,2.6843285,0.03585,0.019,189.101,Mass,13.361,1,1,0,0,0,0
Transit,2014,Space,298.62489,48.577454,82.576569,10.482703,323.498813,66.777499,,14.256,Kepler-band,5460,1.01,0.94,,,4.5,-0.15,0.44,[Fe/H],0.5,Kepler-424,b,2,3.3118644,0.044,,327.35,Mass,9.98,1,1,0,0,0,0
Radial Velocity,2014,Ground,298.62489,48.577454,82.576569,10.482703,323.498813,66.777499,,14.256,Kepler-band,5460,1.01,0.94,,,4.5,-0.15,0.44,[Fe/H],0.5,Kepler-424,c,2,223.3,0.73,,2215.18,Msini,,0,1,0,0,0,0
Transit,2014,Space,290.358009,40.567738,72.574812,12.024014,303.801979,61.639185,650,14.97,V (Johnson),5170,0.93,0.86,5.1,K1 V,4.54,-0.323,0.24,[Fe/H],3,Kepler-425,b,1,3.79701816,0.0464,0.33,79.45,Mass,10.962,1,1,0,0,0,0
Transit,2014,Space,289.434628,49.4734,80.671541,16.282651,309.761253,70.242302,880,15.073,V (Johnson),5725,0.91,0.92,4.1,G1 V,4.47,-0.089,-0.21,[Fe/H],3,Kepler-426,b,1,3.21751883,0.0414,0.18,108.06,Mass,12.22,1,1,0,0,0,0
Transit,2014,Space,288.25458,43.704868,74.839372,14.747993,302.530002,65.095848,1100,14.42,V (Johnson),5800,0.96,1.35,4.2,G2 V,4.14,0.29,-0.19,[Fe/H],3,Kepler-427,b,1,10.290994,0.091,0.57,92.17,Mass,13.79,1,1,0,0,0,0
Transit,2014,Space,290.581722,40.5774,72.65882,11.87497,304.14977,61.598694,720,15.405,V (Johnson),5150,0.87,0.8,5.1,K1 V,4.57,-0.39,0.09,[Fe/H],2,Kepler-428,b,1,3.52563254,0.0433,0.22,403.63,Mass,12.11,1,1,0,0,0,0
Transit,2011,Space,285.240856,46.668255,76.856908,17.836659,299.556275,68.549309,1950,13.958,Kepler-band,6041,1.32,1.42,3.8,F8 V,4.26,,0.33,[Fe/H],5.5,Kepler-43,b,1,3.0240949,0.046,,1026.5909,Mass,13.664,1,1,0,0,1,0
Transit,2015,Space,292.808636,49.579445,81.697606,14.326262,315.670028,69.428186,816,13.848,Kepler-band,5884,1.17,1.49,,,4.15,,0.2,[Fe/H],,Kepler-430,b,2,35.968,0.2244,,,,3.25,1,0,0,0,0,0
Transit,2015,Space,292.808636,49.579445,81.697606,14.326262,315.670028,69.428186,816,13.848,Kepler-band,5884,1.17,1.49,,,4.15,,0.2,[Fe/H],,Kepler-430,c,2,110.979,0.4757,,,,1.75,1,0,0,0,0,0
Transit,2015,Space,281.112335,43.227789,72.387877,19.39485,290.110142,65.893088,427,11.973,Kepler-band,6004,1.07,1.09,,,4.4,,0.07,[Fe/H],,Kepler-431,b,3,6.803,0.0719,,,,0.764,1,0,0,0,0,0
Transit,2015,Space,281.112335,43.227789,72.387877,19.39485,290.110142,65.893088,427,11.973,Kepler-band,6004,1.07,1.09,,,4.4,,0.07,[Fe/H],,Kepler-431,c,3,8.703,0.0847,,,,0.668,1,0,0,0,0,0
Transit,2015,Space,281.112335,43.227789,72.387877,19.39485,290.110142,65.893088,427,11.973,Kepler-band,6004,1.07,1.09,,,4.4,,0.07,[Fe/H],,Kepler-431,d,3,11.922,0.1045,,,,1.11,1,0,0,0,0,0
Transit,2015,Space,293.282206,48.2859,80.63309,13.488216,314.907641,68.126674,870,12.465,V (Johnson),4995,1.32,4.06,,,3.35,,-0.07,[m/H],2.7,Kepler-432,b,2,52.501129,0.301,0.5134,1719.4603,Mass,12.834,1,1,0,0,0,0
Radial Velocity,2015,Ground,293.282206,48.2859,80.63309,13.488216,314.907641,68.126674,870,12.465,V (Johnson),4995,1.32,4.06,,,3.35,,-0.07,[m/H],2.7,Kepler-432,c,2,406.2,,0.498,772.3269,Msini,,0,1,0,0,0,0
Transit,2015,Space,297.593651,40.977268,75.522209,7.361321,314.727948,60.203823,1870,14.463,Kepler-band,6360,1.46,2.26,,,3.89,0.88,-0.01,[Fe/H],11,Kepler-433,b,1,5.33408384,0.0679,0.119,896.24,Mass,16.25,1,1,0,0,0,0
Transit,2015,Space,293.586381,42.928913,75.823043,10.910636,310.359764,63.101401,1240,14.517,Kepler-band,5977,1.2,1.38,,,4.24,0.33,0.25,[Fe/H],3,Kepler-434,b,1,12.8747099,0.1143,0.131,908.96,Mass,12.67,1,1,0,0,0,0
Transit,2015,Space,292.287328,43.197281,75.633714,11.879308,308.578957,63.681663,2070,13.643,Kepler-band,6161,1.54,3.21,,,3.61,1.129,-0.18,[Fe/H],6,Kepler-435,b,1,8.6001536,0.0948,0.114,266.97,Mass,22.31,1,1,0,0,0,0
Transit,2015,Space,301.720753,44.412063,80.05917,6.521968,323.382132,62.099788,618,15.856,Kepler-band,4651,0.73,0.7,,,4.62,-0.701,0.01,[Fe/H],,Kepler-436,b,2,64.00205,0.339,0.19,,,2.73,1,0,0,0,0,0
Transit,2016,Space,301.720753,44.412063,80.05917,6.521968,323.382132,62.099788,618,15.856,Kepler-band,4651,0.73,0.7,,,4.62,-0.701,0.01,[Fe/H],,Kepler-436,c,2,16.79713874,,,,,2.33,1,0,0,0,0,0
Transit,2015,Space,297.347393,44.026947,78.112883,9.022245,316.862319,63.086264,417,14.352,Kepler-band,4551,0.71,0.68,,,4.63,-0.762,0,[Fe/H],,Kepler-437,b,1,66.65062,0.288,0.02,,,2.14,1,0,0,0,0,0
Transit,2015,Space,281.645806,41.951092,71.258017,18.593064,290.460132,64.565421,145,14.467,Kepler-band,3748,0.54,0.52,,,4.74,-1.357,0.16,[Fe/H],,Kepler-438,b,1,35.23319,0.166,0.03,,,1.12,1,0,0,0,0,0
Transit,2015,Space,280.801566,44.033994,73.117757,19.872324,289.937912,66.727217,693,14.56,Kepler-band,5431,0.88,0.87,,,4.51,-0.236,0.02,[Fe/H],1.9,Kepler-439,b,1,178.1396,0.563,0.03,,,2.24,1,0,0,0,0,0
Transit,2011,Space,300.102352,45.762142,80.619823,8.200931,322.472025,63.819389,2250,14.678,Kepler-band,5800,1.12,1.35,4.2,G2 IV,4.22,,0.15,[Fe/H],4,Kepler-44,b,1,3.2467293,0.0446,0.066,317.82,Mass,12.22,1,1,0,0,0,0
Transit,2015,Space,285.349952,41.452206,71.823204,15.835414,296.393255,63.491786,261,15.134,Kepler-band,4134,0.57,0.56,,,4.71,-1.102,-0.3,[Fe/H],,Kepler-440,b,1,101.11141,0.242,0.34,,,1.86,1,0,0,0,0,0
Transit,2015,Space,284.566904,49.012546,79.008757,19.075235,300.312287,70.922463,284,15.142,Kepler-band,4340,0.57,0.55,,,4.71,-1.051,-0.57,[Fe/H],,Kepler-441,b,1,207.2482,0.64,0.1,,,1.64,1,0,0,0,0,0
Transit,2015,Space,285.366589,39.280081,69.750148,14.984359,295.349953,61.373889,342,14.976,Kepler-band,4402,0.61,0.6,,,4.67,-0.932,-0.37,[Fe/H],,Kepler-442,b,1,112.3053,0.409,0.04,,,1.34,1,0,0,0,0,0
Transit,2015,Space,288.610544,49.968632,80.935451,16.96467,308.866448,70.906047,779,15.891,Kepler-band,4723,0.74,0.71,,,4.61,-0.664,-0.01,[Fe/H],,Kepler-443,b,1,177.6693,0.495,0.11,,,2.33,1,0,0,0,0,0
Transit,2015,Space,289.752289,41.634605,73.363269,12.892232,303.535488,62.792918,35.7,8.88,V (Johnson),5046,0.76,0.75,5,K,4.56,,-0.55,[Fe/H],2,Kepler-444,b,5,3.6001053,0.04178,0.16,,,0.403,1,0,0,0,0,0
Transit,2015,Space,289.752289,41.634605,73.363269,12.892232,303.535488,62.792918,35.7,8.88,V (Johnson),5046,0.76,0.75,5,K,4.56,,-0.55,[Fe/H],2,Kepler-444,c,5,4.5458841,0.04881,0.31,,,0.497,1,0,0,0,0,0
Transit,2015,Space,289.752289,41.634605,73.363269,12.892232,303.535488,62.792918,35.7,8.88,V (Johnson),5046,0.76,0.75,5,K,4.56,,-0.55,[Fe/H],2,Kepler-444,d,5,6.189392,0.06,0.18,,,0.53,1,0,0,0,0,0
Transit,2015,Space,289.752289,41.634605,73.363269,12.892232,303.535488,62.792918,35.7,8.88,V (Johnson),5046,0.76,0.75,5,K,4.56,,-0.55,[Fe/H],2,Kepler-444,e,5,7.743493,0.0696,0.1,,,0.546,1,0,0,0,0,0
Transit,2015,Space,289.752289,41.634605,73.363269,12.892232,303.535488,62.792918,35.7,8.88,V (Johnson),5046,0.76,0.75,5,K,4.56,,-0.55,[Fe/H],2,Kepler-444,f,5,9.740486,0.0811,0.29,,,0.741,1,0,0,0,0,0
Transit,2015,Space,298.736067,46.498552,80.779416,9.390008,321.287949,64.904011,90,17.475,Kepler-band,3157,0.18,0.21,6.4,M4,,,0.27,[Fe/H],,Kepler-445,b,3,2.984151,,0,,,1.58,1,1,0,0,0,0
Transit,2015,Space,298.736067,46.498552,80.779416,9.390008,321.287949,64.904011,90,17.475,Kepler-band,3157,0.18,0.21,6.4,M4,,,0.27,[Fe/H],,Kepler-445,c,3,4.871229,,0,,,2.51,1,1,0,0,0,0
Transit,2015,Space,298.736067,46.498552,80.779416,9.390008,321.287949,64.904011,90,17.475,Kepler-band,3157,0.18,0.21,6.4,M4,,,0.27,[Fe/H],,Kepler-445,d,3,8.15275,,0,,,1.25,1,1,0,0,0,0
Transit,2015,Space,282.250207,44.921102,74.368062,19.189134,292.998328,67.384845,120,16.257,Kepler-band,3359,0.22,0.24,6.4,M4,,,-0.3,[Fe/H],,Kepler-446,b,3,1.565409,,0,,,1.5,1,1,0,0,0,0
Transit,2015,Space,282.250207,44.921102,74.368062,19.189134,292.998328,67.384845,120,16.257,Kepler-band,3359,0.22,0.24,6.4,M4,,,-0.3,[Fe/H],,Kepler-446,c,3,3.036179,,0,,,1.11,1,1,0,0,0,0
Transit,2015,Space,282.250207,44.921102,74.368062,19.189134,292.998328,67.384845,120,16.257,Kepler-band,3359,0.22,0.24,6.4,M4,,,-0.3,[Fe/H],,Kepler-446,d,3,5.148921,,0,,,1.35,1,1,0,0,0,0
Transit,2015,Space,285.268586,48.560013,78.727079,18.485829,301.217028,70.349274,283,12.394,Kepler-band,5493,1,1.05,4.8,G8 V,4.4,,0.07,[Fe/H],,Kepler-447,b,1,7.79430132,0.0769,0.123,435.41,Mass,18.49,1,1,0,0,0,0
Transit,2015,Space,293.732821,41.900829,74.942877,10.344678,309.804958,62.099663,279,11.411,Kepler-band,,0.97,1.47,,,,,,,,Kepler-449,b,2,12.58242,,0.03,,,2.056,1,0,0,0,0,0
